symbol,weight,n,mu,sigma,skew,kurt,z_last
NEWGEN,0.07929370475981574,697,0.09359497811945429,0.24288322978776308,-0.8180400628514178,-0.005664267747298446,-0.22931409793938318
UJJIVANSFB,0.07030050449660012,805,0.07992099907476079,0.21178949228413999,0.3262050251092392,-1.0028077404862072,-1.2863433315302382
BAJFINANCE,0.050010967317394156,805,-0.14578058937869282,0.6219830957879458,-3.007382321849719,7.641411107555927,0.8864152170728193
MCX,0.04672077209914454,805,0.14005734649725904,0.20556750982388955,0.4142485064178881,-0.2492791714956506,-1.9879608267257434
ACI,0.04551436718578636,646,0.021885573122375577,0.15675169122440152,-0.17262698390143624,0.08889774045980037,-0.32466616314819846
TATACONSUM,0.040469401184470274,805,0.026534558041330075,0.11569590610254954,-0.34692206648817436,0.13845095883150949,0.8007701058704457
MTARTECH,0.04003070848870366,805,-0.002973522685925847,0.16476733273744773,-0.06520451583223469,-0.6347259223191375,-1.5524776074955282
AVALON,0.03992103531476201,546,0.08073266193910827,0.20707998273012096,0.7075123099542152,0.15345843489788003,2.3617268942911105
TATAELXSI,0.036740513270454044,805,-0.026076427701109232,0.1445890346442092,-0.18912912634849546,-0.19274037264871646,-1.0152173094838268
JIOFIN,0.034437376617679316,450,0.043553065908417836,0.21852304612530457,-0.08824132429898868,-0.5297179099203588,-1.6594461947813783
INDIGO,0.030160122833954812,805,0.08905310060698969,0.12791237313374595,-0.11793813697546049,-0.5554734307353302,-1.7443680373727386
DATAPATTNS,0.029940776486071505,805,0.10026808435650642,0.26851646118585143,0.12069674358226314,-0.3847854287633332,-1.1419592027818564
RVNL,0.027418293485413466,805,0.18776177168056557,0.31759524543891965,0.29818138273470146,-0.9463185787648776,-0.2443502473502462
CDSL,0.025663522702347,805,0.017911420011843326,0.24570535920819261,-0.45556276415798147,-0.3350567730216971,-1.198591111756964
MAZDOCK,0.025115156832638735,805,0.18503963862007863,0.4300647103939384,0.05158330317180292,-0.43101236531473,0.10751283713952989
ADANIENT,0.019083132265847774,805,0.010532051243367797,0.29134267577799294,-1.271880764960017,2.5042412325433636,-1.3831825330988203
ADANIPORTS,0.019083132265847774,805,0.044857247326443604,0.18768210048746536,-0.2550626672533875,0.3078398213761826,-0.13903360711473256
AETHER,0.017876727352489578,761,-0.004302032646099286,0.0995501899132808,0.20914360630086976,-0.315309025184872,-1.7075772511082332
INOXINDIA,0.017767054178547927,376,0.03411411422792003,0.1796314515134191,0.6325486498637183,-0.3489988326451119,0.9062125398975588
HDFCBANK,0.017109015134898004,805,0.018089045515673325,0.11052289718416129,-3.538360256641988,20.902024600713098,-0.9821686467804588
DMART,0.01667032243913139,805,0.00884100642630296,0.1383805603545478,-0.6191125465906449,0.24957775363126355,0.7179888690487766
SYNGENE,0.015025224830006581,805,0.0092699028990338,0.12664731991771797,0.09907938213080235,-0.21240207343282735,-1.1516547796073853
DCXINDIA,0.014696205308181618,556,0.021227574954120396,0.27068185699812203,-0.16901500710034514,-0.6872919060916556,0.6432240450267445
SONACOMS,0.014257512612415002,805,-0.022551605831647652,0.1353379196663148,-0.25352255288843345,-0.686480294129773,1.362148351361615
SWIGGY,0.013709146742706733,153,-0.08628051345113515,0.25695134179518553,-0.16212564219529854,-1.3541498287587115,-0.9953059582523506
SPANDANA,0.013380127220881772,709,-0.04740623486082825,0.2544388803006767,0.07689556479192013,-0.3767752158591722,0.3757445536175496
AEROFLEX,0.010857644220223733,452,0.027282876271470375,0.16567791757783665,-0.4817228866348568,-0.14245520888233232,-0.6301741540855721
HAL,0.010418951524457116,805,0.08298427531633293,0.269847956866508,-0.9824495800852825,1.0071360956320774,-1.1199209429393386
BANDHANBNK,0.00965123930686554,805,-0.04725069404335298,0.12724399783099838,0.15512758824133352,-0.5422977963770919,-1.6215208355471615
IREDA,0.009431892958982233,392,0.06879313644047443,0.3102264043643309,1.1293435083668335,1.4307698826524788,-1.5821106068802577
KELLTONTEC,0.009212546611098923,701,-0.009091461866356426,0.38530219622327616,-2.2883313998470403,7.027209960851012,-1.174696745442602
KOTAKBANK,0.009212546611098923,805,0.011312742856575927,0.07076775121829594,0.3168353713996989,-0.22505360215071013,-2.07760974704044
LATENTVIEW,0.00910287343715727,708,-0.0019070729181132778,0.13161001133474928,-0.4050191117213124,0.36069808399463144,0.7048371741794281
BHEL,0.008883527089273964,805,0.12047622241596574,0.21480641218937557,-0.12969688940862012,-0.8537606615540358,-0.6970583412450639
IRFC,0.00877385391533231,805,0.14112676492445397,0.28919635235692154,0.8221349129924732,0.13458902602892975,-0.6352253600533003
ZOMATO,0.008554507567449002,805,0.1077642766346208,0.21774839029703288,-0.701648466026327,-0.4227741919662118,-1.1336066208842963
HFCL,0.008444834393507348,805,0.007936903088264205,0.21112952101192073,0.15455715286149058,-0.22796822877245493,-1.44928074666716
IEX,0.007567449001974116,805,-0.018936872248295274,0.16447378370652913,-0.22577979386268315,-0.5665539779217137,-1.772928149595498
AXISBANK,0.007457775828032464,805,0.03460757298974204,0.11026080376180639,-0.1488511032115277,-0.851360153203796,-2.4517983508501344
IDFCFIRSTB,0.007457775828032464,805,0.04951140452957678,0.17765113304258895,0.7869353776186517,-0.31262821728685264,0.12597199177588542
PREMIERENE,0.007019083132265847,203,0.005575838514762672,0.1944205364627111,-0.5677005962036477,-0.15620239880184617,-1.1486093327538485
IRCTC,0.0062513709146742695,805,0.002318020005801678,0.13963062391352066,0.32299410121529143,0.027465316609741386,-1.1301860261617807
PRINCEPIPE,0.0061416977407326165,805,-0.05053251605751515,0.1918508652985672,-0.37545759236430254,0.002431222298743929,-1.5954880708292656
VINCOFE,0.006032024566790963,171,0.04196416180115415,0.2734706362938412,0.15325024972406584,-1.5591088293375734,-1.419805116861399
WAAREERTL,0.005922351392849309,53,0.061988324462999136,0.07055909310822145,0.1144524443230195,-1.3455784681085265,0.5802647489930133
VBL,0.005593331871024347,805,-0.05674321362081394,0.34319501046984546,-1.3697429846941396,1.147431067471028,-1.3020556208831213
CLEAN,0.005593331871024347,805,-0.02802925815441374,0.11933170158036062,0.025592285930424938,-0.39410454291861896,-0.6286629692529144
COALINDIA,0.005483658697082693,805,0.05658103881371435,0.14663664897342862,0.018540719674883806,-0.1972338191781069,0.8571259579875764
FEDERALBNK,0.005154639175257731,805,0.061091643537535066,0.10336304800992586,0.2989591005878153,-0.18470057968157416,-1.420559075371205
TATAPOWER,0.004496600131607808,805,0.038169109658118296,0.138080576094657,0.45981509518393543,0.5463987110996031,-1.8856864997870875
SBICARD,0.004277253783724501,805,0.006329393794257233,0.11768243113923886,0.44618874524659924,-0.6938591419269229,-1.41689201292489
PPL,0.0038385610879578848,805,0.05996135841517863,0.23225237690536185,0.8009373746932112,-0.08875218372581051,0.04901537793268515
RTNPOWER,0.0028515025224830006,635,0.05953146389383357,0.30165182546685126,0.1239485382041895,-0.943020984803824,-3.765002942811761
WHIRLPOOL,0.002412809826716385,805,-0.01332847697097824,0.23439439156022018,-0.720250210968863,0.8565347940922874,0.3017594496048065
HAPPSTMNDS,0.0013160780872998462,805,-0.038500237858180575,0.10518522340251417,0.3317804332556266,0.05150151725749774,-2.244744825136181
CASTROLIND,0.0012064049133581926,805,0.05577330295630009,0.15399838075252179,0.10307285148030082,-0.162221777700716,-1.643441555544525
SBIN,0.0009870585654748847,805,0.040050239911511444,0.10207227728834345,0.03956056643885605,-0.24264575629205742,-1.1586722191101326
