symbol,weight,n,mu,sigma,skew,kurt,z_last
NEWGEN,0.07929370475981574,433,0.4380083043124086,0.4397031723780116,0.26856728001370944,-1.1324130151779659,-0.08836621832710329
UJJIVANSFB,0.07030050449660012,654,0.2661117991537727,0.4931760043454209,-0.2340910819826589,-1.3935482096730578,2.4018928591538184
BAJFINANCE,0.050010967317394156,654,-0.13788110845170254,0.6195181762948606,-2.557893923852996,5.143430550422742,-0.3893682790189824
MCX,0.04672077209914454,654,0.5898268512105531,0.3469354915060096,-0.1899575625671153,-1.0618493917186396,-1.4640466223128805
ACI,0.04551436718578636,495,0.07091465584376319,0.17383746893542648,-0.5245823640754746,0.29261341403713725,0.5825073625594228
TATACONSUM,0.040469401184470274,654,0.11558449105466982,0.19986400773673763,0.3549222838117592,-0.9674008605993945,0.19625277044926356
MTARTECH,0.04003070848870366,654,-0.0035041780206730806,0.2864750197641711,0.3269783316920105,-1.0123665094190666,-1.0658174544082373
AVALON,0.03992103531476201,395,0.29450138550102134,0.2318226937555289,-0.4761337782282823,-0.6005089073790311,0.8695933234363002
TATAELXSI,0.036740513270454044,654,-0.09393638109198359,0.19563235141065768,0.32247921878702707,-0.568520376899833,-0.5215712262777914
JIOFIN,0.034437376617679316,299,0.0449129494659763,0.28751585529361534,-0.27035552556748205,-1.290562177435735,-2.036243475471051
INDIGO,0.030160122833954812,654,0.37103679224515207,0.18767161264214804,-0.45427309316033665,0.031857146612239706,-1.2179205794778565
DATAPATTNS,0.029940776486071505,654,0.3643032937373712,0.3824956756910372,-0.2879967104808751,-0.47666303641923813,1.6101032728624725
RVNL,0.027418293485413466,654,0.9056313183648528,0.5708245216679131,-1.0091241658031807,0.2858097856369941,-0.2935971083331762
CDSL,0.025663522702347,654,0.06512364924922136,0.4145604211211206,0.35461032911003887,-1.153156888995628,1.2730135475575157
MAZDOCK,0.025115156832638735,654,0.8108232369421107,0.6252571683302655,-0.562820524774526,-0.23022718922456953,-0.8910394363120642
ADANIENT,0.019083132265847774,654,-0.028877818131266324,0.3115340570857491,0.6555719527371323,-0.26111087119999343,1.0667050408255407
ADANIPORTS,0.019083132265847774,654,0.18357549473407725,0.3471028467642985,0.5201072930729802,-1.1858735074404287,1.9584600112696822
AETHER,0.017876727352489578,610,-0.013689140612200657,0.13140291838562934,0.8412737205835358,-0.008131468289680921,-2.715963704455697
INOXINDIA,0.017767054178547927,225,-0.024588924672051225,0.17113581736578046,0.03358234578552256,-1.1492292201060441,1.1637374200404031
HDFCBANK,0.017109015134898004,654,0.07277194483457097,0.13544569962965958,-1.4222637326377512,4.228555562153538,-0.9671037586411161
DMART,0.01667032243913139,654,0.006822144904146032,0.1670919891455999,0.7685207177368626,-0.6859353784613078,0.17507157708853066
SYNGENE,0.015025224830006581,654,0.09298800922592118,0.15552455585087466,-0.11987790482396803,-0.8323308309730257,-1.4525010789496398
DCXINDIA,0.014696205308181618,292,0.31906117691305375,0.28462602113159013,-0.5924789332775648,-0.8209270789440573,0.5036520354330452
SONACOMS,0.014257512612415002,654,-0.002808848569232597,0.27919187876206364,-0.23811776080745306,-1.1705780976379794,-1.602308283837433
SWIGGY,0.013709146742706733,2,-0.03597267349231181,0.010448460344185836,,,
SPANDANA,0.013380127220881772,484,-0.3413227969198338,0.6988907929512375,0.09229780765716163,-1.6133993447708275,0.7682177206945718
AEROFLEX,0.010857644220223733,301,0.18873079623770958,0.13500469757180494,-0.17122253699427975,-0.40788585686258205,-0.9863614847380003
HAL,0.010418951524457116,654,0.30559809659463555,0.2943060184703531,0.022097099445949297,-0.9605490693904635,-1.194779415028267
BANDHANBNK,0.00965123930686554,654,-0.1993496296695858,0.11735096117151075,-0.29644773519753675,-0.15693162203737643,-0.555807499030015
IREDA,0.009431892958982233,241,0.2854536018406092,0.6354279057921685,0.4541131608005155,-1.1432243017756099,0.9830299085350706
KELLTONTEC,0.009212546611098923,429,0.2888065921593516,0.6214124993138302,-2.596752435539831,6.099828855649765,0.9728309068535728
