DATE,SYMBOL,CLOSE
2024-10-09,BAJFINANCE,7300.45
2024-10-09,HDFCBANK,1633.15
2024-10-09,SBIN,797.4
2024-10-10,BAJFINANCE,7319.7
2024-10-10,HDFCBANK,1662.4
2024-10-10,SBIN,797.1
2024-10-11,BAJFINANCE,7302.0
2024-10-11,HDFCBANK,1651.0
2024-10-11,SBIN,799.75
2024-10-14,BAJFINANCE,7208.8
2024-10-14,HDFCBANK,1688.1
2024-10-14,SBIN,805.15
2024-10-15,BAJFINANCE,7016.9
2024-10-15,HDFCBANK,1684.1
2024-10-15,SBIN,804.65
2024-10-16,BAJFINANCE,6956.35
2024-10-16,HDFCBANK,1699.8
2024-10-16,SBIN,805.45
2024-10-17,BAJFINANCE,6899.5
2024-10-17,HDFCBANK,1673.15
2024-10-17,SBIN,811.05
2024-10-18,BAJFINANCE,6899.55
2024-10-18,HDFCBANK,1681.85
2024-10-18,SBIN,820.4
2024-10-21,BAJFINANCE,6780.9
2024-10-21,HDFCBANK,1728.7
2024-10-21,SBIN,813.95
2024-10-22,BAJFINANCE,6677.9
2024-10-22,HDFCBANK,1714.55
2024-10-22,SBIN,790.4
2024-10-23,BAJFINANCE,6995.8
2024-10-23,HDFCBANK,1735.8
2024-10-23,SBIN,786.0
2024-10-24,BAJFINANCE,7040.9
2024-10-24,HDFCBANK,1749.65
2024-10-24,SBIN,794.55
2024-10-25,BAJFINANCE,6910.15
2024-10-25,HDFCBANK,1743.4
2024-10-25,SBIN,780.95
2024-10-28,BAJFINANCE,6911.35
2024-10-28,HDFCBANK,1734.2
2024-10-28,SBIN,792.05
2024-10-29,BAJFINANCE,7022.5
2024-10-29,HDFCBANK,1751.85
2024-10-29,SBIN,832.7
2024-10-30,BAJFINANCE,6955.0
2024-10-30,HDFCBANK,1734.6
2024-10-30,SBIN,822.45
2024-10-31,BAJFINANCE,6889.75
2024-10-31,HDFCBANK,1735.7
2024-10-31,SBIN,820.2
2024-11-01,BAJFINANCE,6923.6
2024-11-01,HDFCBANK,1737.3
2024-11-01,SBIN,821.2
2024-11-04,BAJFINANCE,6843.7
2024-11-04,HDFCBANK,1714.1
2024-11-04,SBIN,829.85
2024-11-05,BAJFINANCE,6930.35
2024-11-05,HDFCBANK,1757.85
2024-11-05,SBIN,849.2
2024-11-06,BAJFINANCE,7006.2
2024-11-06,HDFCBANK,1755.25
2024-11-06,SBIN,854.8
2024-11-07,BAJFINANCE,6904.5
2024-11-07,HDFCBANK,1746.55
2024-11-07,SBIN,859.6
2024-11-08,BAJFINANCE,6895.95
2024-11-08,HDFCBANK,1754.45
2024-11-08,SBIN,843.15
2024-11-11,BAJFINANCE,6778.8
2024-11-11,HDFCBANK,1766.3
2024-11-11,SBIN,847.65
2024-11-12,BAJFINANCE,6638.2
2024-11-12,HDFCBANK,1718.2
2024-11-12,SBIN,826.7
2024-11-13,BAJFINANCE,6566.0
2024-11-13,HDFCBANK,1681.35
2024-11-13,SBIN,808.65
2024-11-14,BAJFINANCE,6549.15
2024-11-14,HDFCBANK,1692.75
2024-11-14,SBIN,804.25
2024-11-18,BAJFINANCE,6567.95
2024-11-18,HDFCBANK,1705.1
2024-11-18,SBIN,814.3
2024-11-19,BAJFINANCE,6595.3
2024-11-19,HDFCBANK,1742.25
2024-11-19,SBIN,803.0
2024-11-21,BAJFINANCE,6465.65
2024-11-21,HDFCBANK,1741.2
2024-11-21,SBIN,780.75
2024-11-22,BAJFINANCE,6683.95
2024-11-22,HDFCBANK,1745.6
2024-11-22,SBIN,816.05
2024-11-25,BAJFINANCE,6685.4
2024-11-25,HDFCBANK,1785.6
2024-11-25,SBIN,844.45
2024-11-26,BAJFINANCE,6617.95
2024-11-26,HDFCBANK,1785.55
2024-11-26,SBIN,839.4
2024-11-27,BAJFINANCE,6705.2
2024-11-27,HDFCBANK,1812.3
2024-11-27,SBIN,834.1
2024-11-28,BAJFINANCE,6509.4
2024-11-28,HDFCBANK,1793.15
2024-11-28,SBIN,838.85
2024-11-29,BAJFINANCE,6575.9
2024-11-29,HDFCBANK,1796.05
2024-11-29,SBIN,838.95
2024-12-02,BAJFINANCE,6650.65
2024-12-02,HDFCBANK,1804.7
2024-12-02,SBIN,836.4
2024-12-03,BAJFINANCE,6675.45
2024-12-03,HDFCBANK,1826.3
2024-12-03,SBIN,853.95
2024-12-04,BAJFINANCE,6740.0
2024-12-04,HDFCBANK,1860.1
2024-12-04,SBIN,859.7
2024-12-05,BAJFINANCE,6850.4
2024-12-05,HDFCBANK,1865.75
2024-12-05,SBIN,865.45
2024-12-06,BAJFINANCE,6850.3
2024-12-06,HDFCBANK,1855.85
2024-12-06,SBIN,863.65
2024-12-09,BAJFINANCE,6868.35
2024-12-09,HDFCBANK,1870.0
2024-12-09,SBIN,858.05
2024-12-10,BAJFINANCE,6936.2
2024-12-10,HDFCBANK,1868.1
2024-12-10,SBIN,867.5
2024-12-11,BAJFINANCE,7115.1
2024-12-11,HDFCBANK,1863.1
2024-12-11,SBIN,861.6
2024-12-12,BAJFINANCE,7125.8
2024-12-12,HDFCBANK,1859.25
2024-12-12,SBIN,853.7
2024-12-13,BAJFINANCE,7182.8
2024-12-13,HDFCBANK,1871.75
2024-12-13,SBIN,861.55
2024-12-16,BAJFINANCE,7208.4
2024-12-16,HDFCBANK,1865.2
2024-12-16,SBIN,860.95
2024-12-17,BAJFINANCE,7152.8
2024-12-17,HDFCBANK,1833.25
2024-12-17,SBIN,850.55
2024-12-18,BAJFINANCE,7074.45
2024-12-18,HDFCBANK,1810.7
2024-12-18,SBIN,838.15
2024-12-19,BAJFINANCE,6918.55
2024-12-19,HDFCBANK,1793.5
2024-12-19,SBIN,832.8
2024-12-20,BAJFINANCE,6848.25
2024-12-20,HDFCBANK,1771.5
2024-12-20,SBIN,812.0
2024-12-23,BAJFINANCE,6866.7
2024-12-23,HDFCBANK,1801.0
2024-12-23,SBIN,821.15
2024-12-24,BAJFINANCE,6808.2
2024-12-24,HDFCBANK,1798.1
2024-12-24,SBIN,812.05
2024-12-26,BAJFINANCE,6815.75
2024-12-26,HDFCBANK,1790.75
2024-12-26,SBIN,812.45
2024-12-27,BAJFINANCE,6907.75
2024-12-27,HDFCBANK,1798.25
2024-12-27,SBIN,799.65
