,symbol,window,R_s,R_m,beta,sys_ret,alpha
0,ACI,21,1.1600622614385845,0.21061484910551975,1.1387001896033726,0.23982716860974104,0.9202350928288434
1,ADANIENT,21,0.8479642440349293,0.21061484910551975,2.854143521800351,0.6011250071694777,0.24683923686545162
2,ADANIPORTS,21,0.6300353054377572,0.21061484910551975,2.697112472473518,0.5680519364106252,0.061983369027131974
3,AEROFLEX,21,-0.13621059678009573,0.21061484910551975,2.035988329703596,0.4288093748411221,-0.5650199716212179
4,AETHER,21,-0.3559777410518308,0.21061484910551975,0.6321753277731256,0.13314551126716934,-0.4891232523190001
5,AVALON,21,1.940805386040183,0.21061484910551975,2.353146635554151,0.49560762357039895,1.445197762469784
6,AXISBANK,21,0.6827363749755753,0.21061484910551975,0.9379080653797699,0.1975373656648102,0.4851990093107651
7,BAJFINANCE,21,2.0542805395915,0.21061484910551975,3.4402832558803036,0.7245747388174764,1.3297058007740234
8,BANDHANBNK,21,-0.5873566160091466,0.21061484910551975,1.2251146419132484,0.2580273354435217,-0.8453839514526682
9,BHEL,21,0.1757660605285869,0.21061484910551975,4.270646480121513,0.8994615639938116,-0.7236955034652247
10,CASTROLIND,21,-1.0486109846380565,0.21061484910551975,1.5963939591858654,0.33622427282689427,-1.3848352574649507
11,CDSL,21,-0.09211813637888788,0.21061484910551975,0.08785280719102505,0.01850310573003406,-0.11062124210892194
12,CLEAN,21,-0.46782453025031323,0.21061484910551975,1.2497533040947542,0.2632166035610414,-0.7310411338113546
13,COALINDIA,21,0.6397427638483055,0.21061484910551975,0.22726389489799143,0.047865150931073165,0.5918776129172324
14,COCHINSHIP,21,1.0169330254571927,0.21061484910551975,2.1112091401159874,0.4446519944757228,0.5722810309814699
15,DATAPATTNS,21,0.8308961999390245,0.21061484910551975,3.9235116778621926,0.8263498199966903,0.0045463799423342
16,DCXINDIA,21,0.849860030671695,0.21061484910551975,3.2227748145210353,0.6787642312614173,0.17109579941027775
17,DMART,21,1.1291663636985891,0.21061484910551975,-0.17517442063349725,-0.03689433416887087,1.16606069786746
18,FEDERALBNK,21,-0.2957136987801148,0.21061484910551975,1.410239437299631,0.29701736628951486,-0.5927310650696296
19,HAL,21,0.8282191510791126,0.21061484910551975,2.410985637714747,0.5077893762828667,0.3204297747962459
20,HAPPSTMNDS,21,-0.9252820593535702,0.21061484910551975,1.9971874385001886,0.42063733099515677,-1.345919390348727
21,HDFCBANK,21,-13.11572721181812,0.21061484910551975,-2.154816877620785,-0.4538364315301289,-12.66189078028799
22,HFCL,21,-0.02630664171969954,0.21061484910551975,2.524555352128827,0.5317088445471452,-0.5580154862668447
23,IDFCFIRSTB,21,0.5533924122605711,0.21061484910551975,0.870128685850684,0.18326202187282603,0.3701303903877451
24,IEX,21,0.7519623648346752,0.21061484910551975,0.4296000965842857,0.09048015951781604,0.6614822053168591
25,INDIGO,21,-0.8279277671919942,0.21061484910551975,-0.4925881207244007,-0.10374637271754121,-0.7241813944744531
26,INOXINDIA,21,1.1866523623333878,0.21061484910551975,3.1395204309780667,0.6612296218341418,0.525422740499246
27,IRCTC,21,-0.12664786208437828,0.21061484910551975,1.0176463239053328,0.21433142695210855,-0.34097928903648683
28,IREDA,21,0.5566581243191413,0.21061484910551975,2.154928209795677,0.4538598797393443,0.10279824457979703
29,IRFC,21,-0.006876447256598084,0.21061484910551975,2.3609404333091755,0.4972491131085324,-0.5041255603651305
30,JIOFIN,21,-0.9681607878805565,0.21061484910551975,0.1646705982106544,0.03468207319425265,-1.002842861074809
31,KELLTONTEC,21,-0.3424596434497649,0.21061484910551975,5.579939968444302,1.1752182144717553,-1.5176778579215202
32,KOTAKBANK,21,0.06721281728996331,0.21061484910551975,0.6774309993068126,0.1426770276984058,-0.07546421040844248
33,LATENTVIEW,21,0.4600067502225542,0.21061484910551975,1.8592568452542917,0.3915870999116373,0.0684196503109169
34,MANINDS,21,0.1827836325403922,0.21061484910551975,4.220328924340887,0.8888639395757164,-0.7060803070353242
35,MAZDOCK,21,0.759875090565167,0.21061484910551975,3.150538881131933,0.6635502710506751,0.0963248195144919
36,MCX,21,-0.28085496573274504,0.21061484910551975,-1.816121210987982,-0.38250209480956765,0.1016471290768226
37,MTARTECH,21,2.0748645430389683,0.21061484910551975,2.7219650731180955,0.5732862631452628,1.5015782798937054
38,NEWGEN,21,0.30736417596794574,0.21061484910551975,-0.39418228526110927,-0.08302064253033747,0.3903848184982832
39,PPL,21,-1.4334679793761147,0.21061484910551975,2.2695298779627837,0.4779966927876004,-1.911464672163715
40,PREMIERENE,21,0.5144119236653095,0.21061484910551975,2.5636818185805637,0.5399494593749099,-0.02553753570960038
41,PRINCEPIPE,21,0.6148654870517971,0.21061484910551975,4.676529463501366,0.9849465472928574,-0.37008106024106024
42,RAILTEL,21,0.9822731665533988,0.21061484910551975,5.350662077678272,1.1269288861048359,-0.14465571955143708
43,RTNPOWER,21,-0.3116032229803354,0.21061484910551975,2.4131541086732815,0.5082460884665883,-0.8198493114469236
44,RVNL,21,0.5998568743481627,0.21061484910551975,3.6388398478381454,0.7663937054715835,-0.16653683112342077
45,SBICARD,21,1.131841708279083,0.21061484910551975,3.6314486563453,0.7648370107906078,0.3670046974884752
46,SBIN,21,0.5750053596974496,0.21061484910551975,-0.3379978205121709,-0.07118735996516543,0.646192719662615
47,SONACOMS,21,-0.7015221701183272,0.21061484910551975,0.23080187606648356,0.048610302301013306,-0.7501324724193404
48,SPANDANA,21,0.8363173108424942,0.21061484910551975,3.822375091406496,0.8050489531012763,0.031268357741217834
