,symbol,window,R_s,R_m,beta,sys_ret,alpha
0,ACI,21,2.1137807038022203,-0.03745870175799482,0.8143204864068081,-0.030503388235737897,2.144284092037958
1,ADANIENT,21,-0.9267885412315104,-0.03745870175799482,0.7358487920638941,-0.02756394044090215,-0.8992246007906083
2,ADANIPORTS,21,-0.5078895308098561,-0.03745870175799482,1.493291532153288,-0.055936762140669144,-0.451952768669187
3,AEROFLEX,21,0.10692513381704405,-0.03745870175799482,2.724842899489959,-0.10206907750938422,0.20899421132642826
4,AETHER,21,-1.0424931474706804,-0.03745870175799482,-0.2033788343724234,0.007618307100645233,-1.0501114545713257
5,AVALON,21,2.5282949143277342,-0.03745870175799482,-0.25425775472496814,0.009524165403899979,2.5187707489238345
6,AXISBANK,21,-1.9175949111985346,-0.03745870175799482,-0.02226566490330495,0.0008340429010563526,-1.918428954099591
7,BAJFINANCE,21,-21.988859455411507,-0.03745870175799482,1.2123981553914809,-0.04541486091475254,-21.943444594496754
8,BANDHANBNK,21,-1.918518140484923,-0.03745870175799482,1.7281623274634044,-0.06473471721385383,-1.853783423271069
9,BHEL,21,-2.6150224823178903,-0.03745870175799482,1.428176300979824,-0.05349763011623947,-2.561524852201651
10,CASTROLIND,21,-1.4572934206428219,-0.03745870175799482,1.5163707683969532,-0.0568012803679229,-1.4004921402748989
11,CDSL,21,-2.4563082095477133,-0.03745870175799482,2.282994723076241,-0.08551801844678888,-2.3707901911009244
12,CLEAN,21,-5.012086906218206,-0.03745870175799482,1.5171302918214131,-0.056829731129357956,-4.955257175088849
13,COALINDIA,21,-0.14821167317182748,-0.03745870175799482,0.6051442574708328,-0.022667918261163152,-0.12554375491066433
14,COCHINSHIP,21,-4.0569005345225975,-0.03745870175799482,0.22083886589853266,-0.008272337214266947,-4.0486281973083305
15,DATAPATTNS,21,-2.351809529981134,-0.03745870175799482,0.7489521691971741,-0.02805477593696022,-2.323754754044174
16,DCXINDIA,21,-2.2033638186476923,-0.03745870175799482,0.7145144182660437,-0.026764782495614894,-2.1765990361520773
17,DMART,21,2.3925361936603498,-0.03745870175799482,1.198286601776314,-0.04488626043654005,2.4374224540968896
18,FEDERALBNK,21,-1.4764977899615497,-0.03745870175799482,1.0834538592847835,-0.04058477498349719,-1.4359130149780526
19,HAL,21,-1.3838282168055684,-0.03745870175799482,0.26629369967397293,-0.009975016276120394,-1.3738532005294481
20,HAPPSTMNDS,21,-2.0131260527044743,-0.03745870175799482,1.6681189822858151,-0.06248557145429419,-1.95064048125018
21,HDFCBANK,21,-14.952842077944636,-0.03745870175799482,1.1261079496299713,-0.042182541832496145,-14.91065953611214
22,HFCL,21,-3.5619148068611475,-0.03745870175799482,2.0291907105842504,-0.07601084963786901,-3.4859039572232784
23,IDFCFIRSTB,21,0.1892424202365559,-0.03745870175799482,1.1691244436086334,-0.04379388385111743,0.23303630408767334
24,IEX,21,-6.1659903945964505,-0.03745870175799482,2.2382140742583325,-0.08384059347818934,-6.082149801118261
25,INDIGO,21,0.7100711920884653,-0.03745870175799482,2.135944202482363,-0.08000969685250493,0.7900808889409702
26,INOXINDIA,21,-0.14734977503356905,-0.03745870175799482,1.6714656606056486,-0.06261093367935677,-0.08473884135421228
27,IRCTC,21,-1.514609932327211,-0.03745870175799482,1.2731578493146893,-0.04769084016832905,-1.466919092158882
28,IREDA,21,-2.8514130714308727,-0.03745870175799482,1.9001736947672034,-0.07117803972067174,-2.780235031710201
29,IRFC,21,-2.376012817084338,-0.03745870175799482,1.698775225425733,-0.06363391452309294,-2.312378902561245
30,JIOFIN,21,0.861739534863518,-0.03745870175799482,3.0664945748818386,-0.1148669057230079,0.9766064405865258
31,KELLTONTEC,21,-33.29382347650173,-0.03745870175799482,2.3119035025035397,-0.08660090379354372,-33.20722257270818
32,KOTAKBANK,21,-1.4600228245227456,-0.03745870175799482,0.7525560941797781,-0.028189774288041765,-1.4318330502347039
33,LATENTVIEW,21,0.47206193359477044,-0.03745870175799482,0.9801524231275747,-0.03671523729531176,0.5087771708900822
34,MANINDS,21,1.473664020944593,-0.03745870175799482,2.127940993958555,-0.07970990705130457,1.5533739279958976
35,MAZDOCK,21,-3.171614046145506,-0.03745870175799482,1.0063779521689031,-0.037697611566116514,-3.1339164345793895
36,MCX,21,-0.07058577468630389,-0.03745870175799482,2.1691422091101553,-0.08125325108173534,0.010667476395431447
37,MTARTECH,21,-0.4951375439647956,-0.03745870175799482,-1.3612774329701438,0.050991685371517395,-0.546129229336313
38,NEWGEN,21,-6.1445243617835805,-0.03745870175799482,0.08132478750189853,-0.0030463209605659214,-6.1414780408230145
39,PPL,21,-4.932548306120993,-0.03745870175799482,1.1285257689687564,-0.04227311020601241,-4.890275195914981
40,PREMIERENE,21,-0.05056664145378509,-0.03745870175799482,1.7235077985591438,-0.06456036460380518,0.013993723150020093
41,PRINCEPIPE,21,-0.8152529782120039,-0.03745870175799482,1.212851542518582,-0.04543184420792753,-0.7698211340040764
42,RAILTEL,21,-3.0667527967663917,-0.03745870175799482,1.675731377040243,-0.06277072187906443,-3.003982074887327
43,RTNPOWER,21,-1.7109734593112833,-0.03745870175799482,2.437978094692894,-0.09132349434162557,-1.6196499649696579
44,RVNL,21,-3.6841220430725636,-0.03745870175799482,1.3946988841816328,-0.052243609544767936,-3.631878433527796
45,SBICARD,21,-2.8144559028710407,-0.03745870175799482,0.7099177083342161,-0.02659259570921055,-2.7878633071618304
46,SBIN,21,0.8065537840256232,-0.03745870175799482,0.34575079991200575,-0.012951376096491964,0.8195051601221152
47,SONACOMS,21,-3.045035861997814,-0.03745870175799482,0.9653324410860887,-0.036160100007960896,-3.008875761989853
48,SPANDANA,21,-1.0965688283114634,-0.03745870175799482,1.8021425226883296,-0.06750591928278254,-1.029062909028681
49,SWIGGY,21,3.271166048835049,-0.03745870175799482,2.3095856669971786,-0.08651408068458684,3.3576801295196357
50,SYNGENE,21,0.017224761906289743,-0.03745870175799482,1.2608385263307857,-0.0472293743228146,0.06445413622910434
