DATE,SYMBOL,CLOSE
2024-10-10,ACI,670.95
2024-10-10,ADANIENT,3174.2
2024-10-10,ADANIPORTS,1417.2
2024-10-10,AEROFLEX,196.18
2024-10-10,AETHER,966.15
2024-10-10,AVALON,619.95
2024-10-10,AXISBANK,1184.25
2024-10-10,BAJFINANCE,7319.7
2024-10-10,BANDHANBNK,187.7
2024-10-10,BHEL,271.35
2024-10-10,CASTROLIND,228.11
2024-10-10,CDSL,1483.65
2024-10-10,CLEAN,1559.5
2024-10-10,COALINDIA,488.1
2024-10-10,DATAPATTNS,2497.05
2024-10-10,DCXINDIA,326.05
2024-10-10,DMART,4607.5
2024-10-10,FEDERALBNK,185.68
2024-10-10,HAL,4482.25
2024-10-10,HAPPSTMNDS,809.2
2024-10-10,HDFCBANK,1662.4
2024-10-10,HFCL,138.52
2024-10-10,IDFCFIRSTB,73.14
2024-10-10,IEX,202.37
2024-10-10,INDIGO,4665.15
2024-10-10,INOXINDIA,1179.9
2024-10-10,IRCTC,882.65
2024-10-10,IREDA,233.69
2024-10-10,IRFC,151.43
2024-10-10,JIOFIN,343.8
2024-10-10,KELLTONTEC,150.22
2024-10-10,KOTAKBANK,1876.1
2024-10-10,LATENTVIEW,467.75
2024-10-10,MANINDS,350.05
2024-10-10,MAZDOCK,4428.35
2024-10-10,MCX,6193.15
2024-10-10,MTARTECH,1801.75
2024-10-10,NEWGEN,1314.05
2024-10-10,PPL,575.7
2024-10-10,PREMIERENE,1105.7
2024-10-10,PRINCEPIPE,548.6
2024-10-10,RAILTEL,405.2
2024-10-10,RTNPOWER,16.51
2024-10-10,RVNL,480.55
2024-10-10,SBICARD,737.3
2024-10-10,SBIN,797.1
2024-10-10,SONACOMS,670.8
2024-10-10,SPANDANA,554.7
2024-10-10,SYNGENE,880.9
2024-10-10,TATACONSUM,1114.15
2024-10-10,TATAELXSI,7759.3
2024-10-10,TATAPOWER,465.65
2024-10-10,UJJIVANSFB,40.43
2024-10-10,VBL,588.65
2024-10-10,WHIRLPOOL,2370.65
2024-10-10,ZOMATO,275.35
2024-10-11,ACI,672.35
2024-10-11,ADANIENT,3137.2
2024-10-11,ADANIPORTS,1408.25
2024-10-11,AEROFLEX,191.12
2024-10-11,AETHER,948.5
2024-10-11,AVALON,626.55
2024-10-11,AXISBANK,1172.45
2024-10-11,BAJFINANCE,7302.0
2024-10-11,BANDHANBNK,210.26
2024-10-11,BHEL,270.0
2024-10-11,CASTROLIND,227.82
2024-10-11,CDSL,1478.05
2024-10-11,CLEAN,1568.55
2024-10-11,COALINDIA,492.95
