symbol,rows,start,end
UJJIVANSFB,1205,2020-12-01,2025-09-26
SBICARD,1205,2020-12-01,2025-09-26
SYNGENE,1205,2020-12-01,2025-09-26
PPL,1205,2020-12-01,2025-09-26
BANDHANBNK,1205,2020-12-01,2025-09-26
IDFCFIRSTB,1205,2020-12-01,2025-09-26
VBL,1205,2020-12-01,2025-09-26
KOTAKBANK,1205,2020-12-01,2025-09-26
ADANIENT,1205,2020-12-01,2025-09-26
TATAPOWER,1205,2020-12-01,2025-09-26
SBIN,1205,2020-12-01,2025-09-26
WHIRLPOOL,1205,2020-12-01,2025-09-26
CASTROLIND,1205,2020-12-01,2025-09-26
BHEL,1205,2020-12-01,2025-09-26
HAL,1205,2020-12-01,2025-09-26
FEDERALBNK,1205,2020-12-01,2025-09-26
MAZDOCK,1205,2020-12-01,2025-09-26
COALINDIA,1205,2020-12-01,2025-09-26
IEX,1205,2020-12-01,2025-09-26
BAJFINANCE,1205,2020-12-01,2025-09-26
RVNL,1205,2020-12-01,2025-09-26
ADANIPORTS,1205,2020-12-01,2025-09-26
IRCTC,1205,2020-12-01,2025-09-26
PRINCEPIPE,1205,2020-12-01,2025-09-26
AXISBANK,1205,2020-12-01,2025-09-26
DMART,1205,2020-12-01,2025-09-26
HDFCBANK,1205,2020-12-01,2025-09-26
TATAELXSI,1205,2020-12-01,2025-09-26
INDIGO,1205,2020-12-01,2025-09-26
MCX,1205,2020-12-01,2025-09-26
TATACONSUM,1205,2020-12-01,2025-09-26
IRFC,1164,2021-01-29,2025-09-26
SPANDANA,1148,2020-12-01,2025-09-26
RAILTEL,1144,2021-02-26,2025-09-26
MANINDS,1143,2020-12-01,2025-09-26
HFCL,1142,2020-12-01,2025-09-26
COCHINSHIP,1141,2020-12-01,2025-09-26
CDSL,1141,2020-12-01,2025-09-26
KELLTONTEC,1140,2020-12-01,2025-09-26
HAPPSTMNDS,1136,2020-12-01,2025-09-26
MTARTECH,1134,2021-03-15,2025-09-26
NEWGEN,1073,2020-12-01,2025-09-26
SONACOMS,1066,2021-06-24,2025-09-26
CLEAN,1049,2021-07-19,2025-09-26
ZOMATO,1046,2021-07-23,2025-09-26
RTNPOWER,986,2020-12-01,2025-09-26
DATAPATTNS,941,2021-12-24,2025-09-26
LATENTVIEW,906,2021-11-23,2025-09-26
AETHER,832,2022-06-03,2025-09-26
ACI,717,2022-11-21,2025-09-26
DCXINDIA,666,2022-11-11,2025-09-26
AVALON,617,2023-04-18,2025-09-26
AEROFLEX,523,2023-08-31,2025-09-26
JIOFIN,521,2023-09-04,2025-09-26
IREDA,463,2023-11-29,2025-09-26
INOXINDIA,447,2023-12-21,2025-09-26
PREMIERENE,274,2024-09-03,2025-09-26
VINCOFE,242,2024-10-18,2025-09-26
SWIGGY,224,2024-11-13,2025-09-26
WAAREERTL,124,2025-04-09,2025-09-26
